学号,出勤次数
1605103004,3
1809102001,2
1809102002,3
1809102003,3
1809102004,3
1809102005,3
1809102006,3
1809102007,3
1809102008,3
1809102009,3
1809102010,3
1809102011,3
1809102012,3
1809102013,3
1809102014,3
1809102015,3
1809102016,3
1809102017,3
1809102018,3
1809102019,3
1809102020,3
1809102021,3
1809102022,3
1809102023,3
1809102024,3
1809102025,3
1809102026,3
1809102027,3
1809102028,3
1809102029,3
1809102030,3
1809102031,3
1809102032,3
1809102033,3
1809102034,3
1809102035,3
1809102037,3
1809102038,3
1809102039,3
1809102040,3
1809102041,3
1809102042,3
1809102043,3
1809102044,3
1809102045,3
1809102047,3
1809102048,3
1809102049,3
1809102050,3
1809102051,3
1809102052,3
1809102053,3
1809102055,3
1809102056,3
1809102057,1
